背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
66,万波中正,.265,141,582,533,141,25,74,2,41,4,138,2,12,.321,.467,.788,5.11,5.04
7,松本剛,.276,134,561,507,140,3,30,12,37,7,57,7,11,.332,.333,.665,3.70,3.66
5,野村佑希,.236,125,473,423,100,13,43,4,42,4,112,0,3,.309,.383,.692,4.29,4.39
2,マルティネス,.246,119,444,386,95,15,66,0,44,11,99,0,15,.338,.425,.763,4.51,4.56
21,清宮幸太郎,.244,99,416,356,87,10,41,2,53,3,69,0,6,.344,.390,.734,4.83,4.90
4,上川畑大悟,.212,108,346,293,62,0,18,3,34,6,51,12,5,.305,.235,.541,2.36,2.48
23,伏見寅威,.201,89,251,229,46,3,12,0,8,4,42,10,4,.241,.262,.503,1.70,1.80
3,加藤豪将,.210,62,222,200,42,6,16,3,18,3,35,0,1,.284,.330,.614,3.32,3.48
50,五十幡亮汰,.228,70,205,193,44,0,6,17,4,2,50,6,1,.251,.269,.521,2.17,2.22
58,奈良間大己,.243,65,196,181,44,2,15,2,8,3,50,3,4,.285,.365,.650,3.23,3.17
30,郡司裕也,.254,55,187,169,43,3,19,2,16,0,30,2,4,.319,.331,.650,3.59,3.59
37,江越大賀,.180,100,176,150,27,5,13,9,11,2,77,12,0,.244,.333,.577,2.13,2.40
6,アルカンタラ,.204,41,125,113,23,4,10,1,9,0,41,3,1,.262,.363,.625,3.12,3.20
56,細川凌平,.216,60,112,97,21,1,10,1,7,0,26,8,0,.269,.320,.589,2.59,2.60
12,矢澤宏太,.177,37,107,96,17,1,4,2,8,1,35,1,0,.245,.250,.495,1.74,1.99
38,石井一成,.169,36,100,83,14,0,4,3,14,0,27,3,0,.289,.253,.542,2.80,2.87
94,ハンソン,.144,39,96,90,13,4,9,2,5,0,12,0,3,.188,.311,.499,1.24,1.61
32,谷内亮太,.197,44,88,76,15,0,5,0,8,0,9,4,1,.274,.197,.471,1.68,1.82
61,今川優馬,.197,28,69,61,12,0,1,3,6,2,17,0,0,.290,.213,.503,2.59,2.72
35,福田光輝,.175,24,63,57,10,2,7,0,4,1,19,1,1,.242,.333,.575,2.35,2.50
43,水野達稀,.161,31,62,56,9,0,6,1,4,0,21,1,0,.213,.268,.481,1.47,1.70
10,清水優心,.260,32,60,50,13,0,5,1,4,0,13,6,1,.315,.280,.595,2.95,2.88
27,古川裕大,.186,17,47,43,8,0,4,0,1,0,15,1,1,.196,.279,.475,1.24,1.63
49,山田遥楓,.268,29,46,41,11,0,1,0,4,1,6,0,0,.348,.317,.665,4.54,4.40
99,王柏融,.238,20,45,42,10,1,5,0,3,0,16,0,1,.289,.357,.646,3.30,3.37
8,淺間大基,.222,13,38,36,8,0,4,0,1,0,10,1,1,.243,.361,.604,2.50,2.35
9,中島卓也,.207,17,32,29,6,0,2,2,2,0,5,1,0,.258,.207,.465,1.63,1.78
64,田宮裕涼,.258,10,31,31,8,2,9,2,0,0,7,0,0,.258,.484,.742,5.06,5.08
30,宇佐見真吾,.000,9,16,15,0,0,0,0,1,0,4,0,0,.063,.000,.063,-2.21,-1.87
60,郡拓也,.267,7,15,15,4,0,0,1,0,0,1,0,0,.267,.333,.600,3.67,3.44
65,梅林優貴,.500,7,6,6,3,0,0,0,0,0,1,0,1,.500,.500,1.000,6.54,5.74
39,有薗直輝,.000,1,5,5,0,0,0,0,0,0,4,0,0,.000,.000,.000,-2.87,-2.59
36,木村文紀,.500,1,2,2,1,0,0,0,0,0,0,0,0,.500,1.000,1.500,21.00,17.01
44,阪口樂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
