背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
15,上沢直之,2.96,24,9,9,0,0,.500,696,170.0,152,14,41,5,124,66,56,1.14,3.54
14,加藤貴之,2.87,24,7,9,0,0,.438,648,163.1,162,14,16,1,83,59,52,1.09,3.49
17,伊藤大海,3.46,24,7,10,0,0,.412,649,153.1,147,11,41,8,134,64,59,1.23,3.26
20,上原健太,2.75,19,4,7,0,0,.364,424,101.1,101,7,22,4,74,40,31,1.21,3.30
57,北山亘基,3.41,14,6,5,0,0,.545,273,66.0,49,9,34,0,58,26,25,1.26,4.64
47,鈴木健矢,2.63,24,6,4,0,1,.600,273,65.0,59,3,21,3,23,24,19,1.23,4.12
45,ポンセ,3.66,10,4,5,0,0,.444,237,51.2,59,3,17,3,43,27,21,1.47,3.37
52,池田隆英,2.86,51,1,5,0,25,.167,195,50.1,33,5,12,2,45,18,16,0.89,3.46
26,田中正義,3.50,47,2,3,25,8,.400,194,46.1,43,6,13,0,46,18,18,1.21,3.66
28,河野竜生,1.70,50,1,4,0,20,.200,164,42.1,30,1,9,3,35,9,8,0.92,2.62
19,玉井大翔,2.63,50,0,2,2,10,.000,162,37.2,43,3,7,3,21,14,11,1.33,3.76
41,ロドリゲス,5.09,37,1,7,0,12,.125,163,35.1,42,5,20,0,20,21,20,1.75,5.27
40,福田俊,0.00,29,1,0,0,3,1.000,100,26.1,11,0,10,2,19,0,0,0.80,3.04
70,メネズ,3.16,12,0,2,0,0,.000,116,25.2,24,1,14,2,19,13,9,1.48,4.02
59,根本悠楓,2.88,5,3,1,0,0,.750,105,25.0,12,2,14,3,23,8,8,1.04,4.36
24,金村尚真,1.80,4,2,1,0,0,.667,97,25.0,18,0,5,0,23,7,5,0.92,1.88
67,山本拓実,1.50,26,0,0,0,3,.000,97,24.0,23,2,6,0,19,4,4,1.21,3.37
25,宮西尚生,2.66,31,1,3,1,13,.250,111,23.2,29,3,10,3,24,7,7,1.65,4.01
22,杉浦稔大,2.78,24,0,1,0,0,.000,99,22.2,22,4,10,2,22,9,7,1.41,4.93
31,マーベル,2.49,8,2,2,0,0,.500,93,21.2,21,1,9,1,12,9,6,1.38,4.00
62,宮内春輝,6.48,15,1,0,0,1,1.000,78,16.2,23,1,5,0,18,12,12,1.68,2.46
51,石川直也,5.87,16,0,0,1,3,.000,67,15.1,17,1,4,1,12,10,10,1.37,3.38
63,北浦竜次,3.09,12,0,0,0,0,.000,47,11.2,12,1,2,0,11,4,4,1.20,2.86
53,長谷川威展,1.08,9,0,0,0,0,.000,35,8.1,8,0,3,1,5,1,1,1.32,3.36
13,生田目翼,2.16,5,0,1,0,0,.000,35,8.1,5,0,4,2,5,3,2,1.08,4.08
93,田中瑛斗,5.40,2,0,0,0,0,.000,41,8.1,8,1,7,1,4,5,5,1.80,6.60
33,立野和明,6.00,4,0,1,0,0,.000,29,6.0,10,2,1,0,7,4,4,1.83,5.62
29,井口和朋,5.40,5,0,0,0,0,.000,23,5.0,6,0,3,0,2,3,3,1.80,4.12
34,堀瑞輝,9.00,5,1,0,0,0,1.000,21,4.0,9,3,1,0,3,4,4,2.50,12.12
67,齋藤綱記,10.80,4,1,0,0,0,1.000,15,3.1,5,2,0,0,3,4,4,1.50,9.12
18,吉田輝星,9.00,3,0,0,0,0,.000,15,3.0,5,1,2,0,2,3,3,2.33,7.12
12,矢澤宏太,0.00,2,0,0,0,0,.000,7,2.0,1,0,0,0,3,0,0,0.50,0.12
16,達孝太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,西村天裕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,ガント,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,畔柳亨丞,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,齋藤友貴哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,安西叶翔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,松浦慶斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,松岡洸希,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
