背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
67,中川　圭太,.269,135,563,506,136,12,55,5,43,7,90,6,9,.334,.417,.751,4.81,4.69
24,紅林　弘太郎,.275,127,482,443,122,8,39,4,28,1,63,7,19,.318,.377,.695,3.58,3.55
6,宗　佑磨,.245,122,478,428,105,2,22,1,36,4,55,9,9,.309,.313,.622,3.27,3.23
4,森　友哉,.294,110,453,384,113,18,64,4,54,7,61,1,9,.385,.508,.893,7.06,7.01
44,頓宮　裕真,.307,113,451,401,123,16,49,0,41,6,69,1,11,.378,.484,.862,6.55,6.35
99,杉本　裕太郎,.242,96,370,339,82,16,41,0,19,9,101,1,2,.298,.425,.723,4.46,4.56
61,茶野　篤政,.237,91,344,312,74,1,23,7,16,8,76,7,1,.291,.269,.560,2.67,2.74
8,ゴンザレス,.217,84,321,299,65,12,38,2,15,5,85,1,3,.266,.385,.650,3.46,3.57
2,若月　健矢,.255,96,318,286,73,6,17,2,15,1,66,16,15,.295,.374,.669,3.01,2.92
9,野口　智哉,.226,76,257,226,51,2,19,4,21,5,70,5,3,.306,.327,.633,3.40,3.37
40,セデーニョ,.244,57,187,176,43,9,34,0,8,1,47,0,5,.278,.438,.716,3.90,4.07
53,宜保　翔,.279,62,162,147,41,0,9,1,6,1,25,7,4,.310,.313,.623,2.96,2.91
5,西野　真弘,.197,43,138,122,24,0,8,0,11,0,9,5,4,.263,.246,.509,1.72,1.74
1,福田　周平,.191,36,114,94,18,0,5,5,15,1,15,3,1,.306,.202,.508,2.51,2.77
30,廣岡　大志,.200,44,103,90,18,1,9,0,12,0,26,1,2,.294,.300,.594,2.51,2.57
23,シュウィンデル,.188,20,70,69,13,1,11,0,0,0,17,0,2,.186,.275,.461,0.95,1.17
31,太田　椋,.250,18,70,60,15,2,7,0,3,3,8,4,1,.318,.400,.718,4.24,4.19
50,小田　裕也,.290,77,68,62,18,1,8,5,2,2,15,2,1,.333,.419,.753,4.80,4.57
3,安達　了一,.183,23,68,60,11,0,4,1,5,0,18,3,0,.246,.183,.429,1.16,1.34
0,渡部　遼人,.171,32,52,41,7,0,1,2,8,0,7,2,1,.300,.220,.520,2.20,2.53
10,大城　滉二,.196,57,51,46,9,1,10,1,4,1,8,0,2,.275,.326,.601,2.62,2.67
55,Ｔ－岡田,.179,20,42,39,7,0,4,0,2,0,9,0,0,.214,.179,.394,0.87,1.31
39,池田　陵真,.206,12,39,34,7,0,0,1,4,1,9,0,1,.308,.235,.543,2.55,2.63
41,佐野　皓大,.167,47,38,36,6,1,3,5,0,0,7,2,0,.167,.250,.417,1.26,1.51
36,山足　達也,.200,32,27,25,5,0,0,2,2,0,5,0,1,.259,.240,.499,1.97,1.99
37,石川　亮,.091,14,11,11,1,0,0,0,0,0,3,0,0,.091,.091,.182,-1.39,-1.13
38,来田　涼斗,.000,4,11,10,0,0,0,0,1,0,6,0,0,.091,.000,.091,-2.01,-1.65
68,平野　大和,.200,4,5,5,1,0,0,0,0,0,2,0,0,.200,.200,.400,0.71,0.81
33,杉澤　龍,.200,2,5,5,1,0,0,0,0,0,2,0,0,.200,.200,.400,0.71,0.81
64,大里　昂生,.000,5,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
32,福永　奨,.000,3,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
49,渡邉　大樹,.000,1,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
00,石岡　諒太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,内藤　鵬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,元　謙太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,佐野　如一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,中川　拓真,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
