背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
18,山本由伸,1.21,23,16,6,0,0,.727,636,164.0,117,2,28,6,169,27,22,0.88,1.84
13,宮城大弥,2.27,22,10,4,0,0,.714,575,146.2,107,7,31,5,122,38,37,0.94,2.79
11,山﨑福也,3.25,23,11,5,0,0,.688,537,130.1,127,7,24,5,80,48,47,1.16,3.26
12,山下舜平大,1.61,16,9,3,0,0,.750,383,95.0,71,2,30,4,101,21,17,1.06,2.34
19,山岡泰輔,2.30,31,2,1,3,8,.667,390,94.0,75,4,33,3,97,26,24,1.15,2.69
29,田嶋大樹,3.09,13,6,4,0,0,.600,338,81.2,73,9,18,2,64,31,28,1.11,3.72
95,東晃平,2.06,10,6,0,0,0,1.000,209,52.1,45,2,9,5,40,14,12,1.03,2.89
63,山﨑颯一郎,2.08,53,1,1,9,27,.500,211,52.0,42,3,18,0,60,12,12,1.15,2.60
56,小木田敦也,2.19,38,4,0,0,7,1.000,193,49.1,37,4,13,0,37,16,12,1.01,3.46
45,阿部翔太,2.70,49,3,5,1,21,.375,193,46.2,37,4,12,5,42,17,14,1.05,3.46
96,宇田川優希,1.77,46,4,0,2,20,1.000,192,45.2,22,3,30,2,52,9,9,1.14,3.73
58,ワゲスパック,5.77,31,4,7,2,4,.364,201,43.2,44,4,26,1,67,30,28,1.60,3.10
16,平野佳寿,1.13,42,3,2,29,5,.600,167,40.0,36,1,13,0,24,5,5,1.23,3.22
46,本田仁海,6.34,28,2,1,0,7,.667,145,32.2,36,5,12,0,34,23,23,1.47,3.95
17,曽谷龍平,3.86,10,1,2,0,0,.333,138,32.2,33,0,15,1,27,16,14,1.47,2.94
57,山田修義,1.15,32,0,0,0,6,.000,121,31.1,23,1,10,1,29,4,4,1.05,2.74
54,黒木優太,6.58,12,1,5,0,0,.167,122,26.0,33,2,16,1,20,20,19,1.88,4.54
65,漆原大晟,3.00,16,0,0,0,1,.000,99,21.0,23,1,12,3,10,11,7,1.67,4.79
35,比嘉幹貴,2.25,31,2,0,0,6,1.000,83,20.0,21,3,2,2,10,5,5,1.15,4.67
42,コットン,5.89,7,1,1,0,1,.500,84,18.1,24,4,4,1,22,13,12,1.53,4.37
66,吉田凌,3.24,19,0,0,0,4,.000,79,16.2,16,1,10,1,12,8,6,1.56,4.44
20,近藤大亮,5.11,12,0,1,0,0,.000,57,12.1,12,1,8,1,16,7,7,1.62,3.77
22,村西良太,6.17,7,0,1,0,0,.000,52,11.2,11,1,5,1,6,8,8,1.37,4.75
59,小野泰己,6.00,5,0,0,0,0,.000,35,6.0,6,0,10,1,0,4,4,2.67,8.62
48,ニックス,10.50,2,0,1,0,0,.000,30,6.0,7,2,6,0,5,7,7,2.17,8.79
21,竹安大知,10.38,2,0,2,0,0,.000,26,4.1,12,0,3,1,1,5,5,3.46,5.43
26,齋藤響介,0.00,1,0,0,0,0,.000,17,4.0,2,0,2,2,3,0,0,1.00,4.62
52,横山楓,7.36,4,0,1,0,0,.000,18,3.2,4,0,4,0,3,3,3,2.18,4.76
43,前佑囲斗,0.00,2,0,0,0,0,.000,8,2.0,1,0,1,0,2,0,0,1.00,2.62
30,鈴木康平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,日髙暖己,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
