背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
3,浅村　栄斗,.274,143,601,522,143,26,78,2,75,3,108,0,9,.368,.462,.829,6.21,6.13
0,小深田　大翔,.258,134,549,477,123,5,37,36,48,3,83,20,8,.329,.331,.660,4.10,4.08
8,辰己　涼介,.263,133,495,434,114,9,43,13,40,12,99,8,3,.341,.385,.726,4.91,4.85
51,小郷　裕哉,.262,120,441,390,102,10,49,13,36,1,85,8,3,.321,.395,.716,4.44,4.55
27,岡島　豪郎,.266,114,410,361,96,6,43,3,33,3,67,5,10,.327,.371,.698,4.10,4.18
35,島内　宏明,.236,104,369,322,76,7,38,2,41,3,41,0,5,.325,.342,.667,4.09,4.19
66,村林　一輝,.256,98,340,301,77,2,32,11,21,4,55,12,12,.311,.336,.647,3.15,3.13
23,フランコ,.221,95,334,312,69,12,32,0,21,1,52,0,11,.272,.372,.644,3.03,3.12
34,山﨑　剛,.203,117,307,261,53,2,19,13,35,3,58,7,9,.303,.287,.591,2.66,2.77
7,鈴木　大地,.244,101,292,250,61,5,27,0,24,9,36,7,6,.330,.348,.678,3.83,3.91
4,阿部　寿樹,.255,78,253,216,55,4,24,0,27,2,47,6,12,.340,.398,.738,4.09,4.02
2,太田　光,.243,104,233,173,42,3,14,1,27,4,47,28,4,.356,.329,.686,3.88,3.90
39,伊藤　裕季也,.245,87,216,188,46,5,16,3,15,1,48,10,3,.301,.367,.668,3.58,3.70
26,炭谷　銀仁朗,.221,65,145,131,29,1,10,0,5,2,23,6,2,.259,.260,.519,2.00,2.13
55,安田　悠馬,.218,53,127,110,24,3,7,0,16,1,25,0,5,.323,.318,.641,3.21,3.34
6,西川　遥輝,.181,35,87,72,13,1,4,2,11,0,24,2,0,.286,.278,.563,2.98,3.25
48,渡邊　佳明,.143,25,57,49,7,0,3,0,5,0,7,3,3,.222,.143,.365,0.03,0.21
25,田中　和基,.088,95,41,34,3,2,3,3,5,0,13,2,1,.205,.265,.470,0.88,1.35
24,黒川　史陽,.091,9,24,22,2,1,2,0,0,0,5,1,0,.087,.227,.314,-0.13,0.63
5,茂木　栄五郎,.083,8,15,12,1,0,1,0,3,0,3,0,1,.267,.083,.350,-0.03,0.32
33,銀次,.100,6,10,10,1,0,1,0,0,0,1,0,0,.100,.100,.200,-1.19,-0.96
54,和田　恋,.200,2,6,5,1,0,2,0,0,0,3,0,1,.167,.200,.367,-0.97,0.54
65,堀内　謙伍,.500,3,3,2,1,0,0,0,1,0,0,0,0,.667,.500,1.167,21.49,20.25
67,正隨　優弥,.000,1,2,1,0,0,0,0,1,0,0,0,0,.500,.000,.500,5.86,6.75
9,吉野　創士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,平良　竜哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,前田　銀治,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,ギッテンス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,田中　貴也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,武藤　敦貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,横尾　俊建,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,入江　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,石原　彪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,辰見　鴻之介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
