背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
14,則本　昂大,2.61,24,8,8,0,0,.500,636,155.0,134,7,44,1,111,57,45,1.15,3.15
18,田中　将大,4.91,24,7,11,0,0,.389,600,139.1,156,15,38,5,81,79,76,1.39,4.28
11,岸　孝之,3.07,20,9,5,0,0,.643,506,120.1,123,10,20,3,76,44,41,1.19,3.51
19,荘司　康誠,3.36,19,5,3,0,0,.625,460,109.2,90,6,48,5,93,43,41,1.26,3.59
21,早川　隆久,3.44,17,6,7,0,0,.462,413,96.2,102,13,27,2,78,42,37,1.33,4.15
1,松井　裕樹,1.57,59,2,3,39,8,.400,222,57.1,38,3,13,0,72,14,10,0.89,1.86
69,内　星龍,2.28,53,4,2,0,7,.667,222,55.1,38,5,17,1,35,17,14,0.99,3.90
58,辛島　航,4.56,10,1,5,0,0,.167,224,51.1,57,7,16,1,24,27,26,1.42,4.95
46,藤平　尚真,4.44,11,2,4,0,0,.333,231,50.2,50,5,27,1,42,30,25,1.52,4.40
31,渡辺　翔太,2.40,51,8,3,1,25,.727,197,48.2,30,1,20,2,41,15,13,1.03,2.87
20,安樂　智大,3.04,57,3,2,0,10,.600,214,47.1,48,2,18,8,32,16,16,1.39,3.90
43,宋　家豪,2.89,49,2,1,0,16,.667,188,46.2,41,5,11,0,35,16,15,1.11,3.72
56,鈴木　翔天,3.30,61,1,1,1,22,.500,195,43.2,37,5,25,3,47,18,16,1.42,4.17
28,酒居　知史,2.98,47,5,3,1,20,.625,184,42.1,36,1,25,0,30,17,14,1.44,3.64
57,瀧中　瞭太,3.83,8,2,4,0,0,.333,179,42.1,45,3,11,1,18,20,18,1.32,4.04
47,藤井　聖,2.29,10,3,0,0,0,1.000,148,35.1,28,1,18,0,24,12,9,1.30,3.66
62,西口　直人,4.56,26,0,4,0,7,.000,109,23.2,32,4,9,0,18,14,12,1.73,4.94
41,伊藤　茉央,3.27,25,1,0,0,3,1.000,98,22.0,18,1,14,3,9,11,8,1.45,5.21
72,宮森　智志,7.71,24,0,2,0,3,.000,106,21.0,30,2,14,0,15,18,18,2.10,4.93
45,松井　友飛,3.86,6,1,2,0,0,.333,78,18.2,15,0,8,0,13,9,8,1.23,2.85
38,弓削　隼人,5.59,12,0,0,0,0,.000,47,9.2,12,1,4,2,5,7,6,1.66,4.98
29,高田　孝一,1.86,7,0,0,0,0,.000,44,9.2,14,0,2,0,6,4,2,1.66,2.50
52,津留﨑　大成,1.86,7,0,0,0,0,.000,38,9.2,11,1,0,0,7,2,2,1.14,3.02
22,小孫　竜二,9.00,4,0,0,0,0,.000,23,4.0,4,0,6,0,3,4,4,2.50,6.12
17,塩見　貴洋,9.00,1,0,1,0,0,.000,17,4.0,4,2,1,0,4,4,4,1.25,8.37
60,石橋　良太,18.90,2,0,0,0,0,.000,18,3.1,8,1,1,0,2,7,7,2.70,6.72
13,バニュエロス,81.00,1,0,0,0,0,.000,8,0.2,4,0,2,0,0,6,6,9.00,12.12
49,西垣　雅矢,81.00,1,0,0,0,0,.000,4,0.1,1,0,1,1,0,3,3,6.00,21.12
40,内間　拓馬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,髙田　萌生,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,泰　勝利,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,林　優樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,小峯　新陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,吉川　雄大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
