背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
9,柳田悠岐,.299,143,625,546,163,22,85,1,64,9,97,0,9,.378,.484,.861,6.81,6.70
3,近藤健介,.303,143,613,492,149,26,87,3,109,6,117,0,7,.431,.528,.959,8.56,8.38
7,中村晃,.274,136,585,511,140,5,37,0,60,3,53,7,8,.351,.337,.688,4.43,4.42
6,今宮健太,.255,126,484,427,109,9,48,4,27,2,58,24,14,.300,.370,.670,3.48,3.49
19,甲斐拓也,.202,139,420,366,74,10,44,0,31,3,117,18,5,.269,.333,.602,2.80,2.93
24,栗原陵矢,.239,96,387,352,84,13,49,0,28,4,81,1,6,.301,.389,.690,3.95,4.05
8,牧原大成,.259,91,387,359,93,2,32,3,11,5,66,7,6,.287,.318,.604,3.00,3.07
32,柳町達,.257,116,375,311,80,0,34,2,58,1,104,4,8,.375,.322,.696,4.55,4.47
13,三森大貴,.260,102,316,296,77,5,21,14,12,0,48,8,4,.289,.351,.640,3.27,3.26
23,周東佑京,.241,114,268,237,57,2,17,36,20,3,56,7,3,.307,.295,.602,3.62,3.68
0,川瀬晃,.236,102,208,178,42,0,15,2,9,2,23,18,3,.279,.309,.588,2.57,2.55
51,上林誠知,.185,56,99,92,17,0,9,1,3,1,30,2,1,.216,.239,.456,1.16,1.35
99,野村勇,.160,50,95,81,13,3,7,1,8,4,33,1,0,.266,.296,.562,2.73,3.11
55,野村大樹,.216,41,83,74,16,1,4,1,4,0,22,4,5,.253,.284,.537,1.50,1.67
33,増田珠,.182,35,75,66,12,1,3,0,5,3,17,1,0,.270,.258,.528,2.37,2.52
52,リチャード,.115,22,64,61,7,0,1,0,2,1,25,0,0,.156,.131,.287,-0.39,-0.16
4,アストゥディーヨ,.136,20,50,44,6,1,3,0,2,3,2,0,3,.220,.227,.447,0.65,1.08
25,デスパイネ,.071,20,49,42,3,0,0,0,7,0,13,0,2,.204,.071,.276,-0.64,-0.31
45,谷川原健太,.233,61,46,43,10,0,3,2,3,0,12,0,0,.283,.256,.538,2.51,2.55
43,井上朋也,.263,15,41,38,10,1,3,0,3,0,10,0,0,.317,.395,.712,4.73,4.63
12,嶺井博希,.206,44,39,34,7,2,6,0,0,1,10,3,1,.222,.441,.663,2.81,3.18
0,ガルビス,.152,19,34,33,5,0,1,0,0,1,11,0,1,.176,.152,.328,-0.31,-0.13
30,佐藤直樹,.167,41,31,30,5,1,2,3,0,0,16,1,0,.167,.300,.467,1.32,1.54
31,正木智也,.038,15,30,26,1,0,1,0,3,1,10,0,0,.167,.038,.205,-0.90,-0.51
37,生海,.200,13,21,20,4,0,0,0,1,0,5,0,0,.238,.200,.438,1.30,1.45
10,ホーキンス,.000,3,10,9,0,0,1,0,0,0,4,0,0,.000,.000,.000,-2.40,-1.27
62,海野隆司,.000,8,2,1,0,0,0,0,0,0,0,1,1,.000,.000,.000,-3.79,-3.78
46,川原田純平,.000,2,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
64,吉田賢吾,.000,1,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
22,牧原巧汰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,イヒネイツア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,笹川吉康,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,水谷瞬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,九鬼隆平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,渡邉陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
