背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
5,外崎修汰,.260,136,571,503,131,12,54,26,56,5,114,3,11,.338,.400,.738,4.99,4.96
30,マキノン,.259,127,514,464,120,15,50,1,48,0,91,0,7,.327,.401,.728,4.68,4.70
6,源田壮亮,.257,100,435,397,102,0,22,5,26,3,82,8,5,.307,.300,.607,3.07,3.05
60,中村剛也,.258,88,322,283,73,17,40,1,31,5,76,0,7,.339,.481,.819,5.60,5.68
22,古賀悠斗,.218,100,282,239,52,2,20,1,23,3,54,17,8,.294,.301,.596,2.63,2.58
53,愛斗,.214,73,267,257,55,4,15,2,3,2,55,4,7,.228,.331,.559,1.81,1.83
46,鈴木将平,.240,72,267,242,58,0,15,10,15,1,34,8,3,.286,.289,.575,3.02,3.01
58,佐藤龍世,.263,91,257,209,55,3,16,2,42,2,41,3,6,.390,.378,.768,5.46,5.40
10,ペイトン,.215,57,225,205,44,5,22,1,14,1,46,3,6,.266,.327,.593,2.44,2.62
9,蛭間拓哉,.232,56,223,198,46,2,20,0,14,0,37,9,2,.280,.293,.573,2.72,2.84
8,渡部健人,.214,57,209,192,41,6,25,2,11,5,63,0,2,.273,.375,.648,3.41,3.49
63,長谷川信哉,.222,59,198,180,40,4,12,3,11,3,34,2,3,.276,.339,.614,2.81,2.95
68,岸潤一郎,.209,61,197,177,37,3,12,3,11,4,33,4,6,.269,.288,.558,2.12,2.27
1,栗山巧,.217,77,191,157,34,7,19,1,31,1,32,0,7,.346,.376,.721,4.31,4.55
37,柘植世那,.184,59,137,125,23,0,13,0,3,2,23,6,5,.214,.216,.430,0.60,0.74
0,児玉亮涼,.221,56,132,122,27,0,8,2,4,0,30,5,2,.244,.279,.523,1.68,1.79
31,平沼翔太,.245,67,110,102,25,2,6,3,5,1,18,1,3,.284,.363,.647,3.27,3.38
51,西川愛也,.227,41,109,97,22,1,8,4,5,1,16,5,0,.269,.299,.568,2.84,2.95
35,若林楽人,.244,36,94,90,22,1,7,4,2,0,30,2,2,.261,.356,.616,2.74,2.67
39,呉念庭,.205,41,92,78,16,1,11,1,13,0,25,1,2,.319,.295,.614,3.25,3.34
7,金子侑司,.179,47,91,84,15,0,2,1,4,1,24,1,2,.222,.226,.448,0.84,1.08
3,山川穂高,.254,17,62,59,15,0,5,0,3,0,17,0,1,.290,.322,.612,3.12,2.96
65,古市尊,.160,29,56,50,8,0,0,0,2,1,13,3,0,.208,.160,.368,0.35,0.55
4,山野辺翔,.205,35,43,39,8,0,2,6,1,1,3,2,0,.244,.231,.475,1.92,2.01
72,川越誠司,.133,12,38,30,4,1,5,0,6,1,13,1,0,.297,.233,.531,2.54,2.92
52,陽川尚将,.167,9,28,24,4,1,1,0,2,2,11,0,0,.286,.292,.577,2.93,3.25
73,高木渉,.158,5,19,19,3,0,0,0,0,0,8,0,0,.158,.158,.316,-0.20,0.00
62,滝澤夏央,.188,16,17,16,3,1,1,0,0,0,4,1,0,.188,.375,.563,2.19,2.47
32,山村崇嘉,.286,4,15,14,4,2,3,0,1,0,5,0,0,.333,.714,1.048,8.74,8.86
34,髙松渡,.000,2,1,1,0,0,0,1,0,0,0,0,0,.000,.000,.000,1.91,2.43
78,齊藤誠人,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
2,岡田雅利,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,古川雄大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,野田海人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,ブランドン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,中山誠吾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,川野涼多,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,中熊大智,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,仲三河優太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
