背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
13,髙橋光成,2.21,23,10,8,0,0,.556,626,155.0,123,8,47,7,120,47,38,1.10,3.27
61,平良海馬,2.40,23,11,7,0,0,.611,611,150.0,115,10,55,5,153,47,40,1.13,3.11
48,今井達也,2.30,19,10,5,0,0,.667,533,133.0,87,11,61,8,130,38,34,1.11,3.80
16,隅田知一郎,3.44,22,9,10,0,0,.474,554,131.0,123,11,41,7,128,52,50,1.25,3.36
17,松本航,3.47,20,6,8,0,0,.429,496,116.2,102,14,48,5,89,48,45,1.29,4.49
44,與座海人,3.69,15,2,6,0,0,.250,340,83.0,72,9,21,5,39,38,34,1.12,4.53
75,エンス,5.17,12,1,10,0,0,.091,236,54.0,53,6,23,5,30,37,31,1.41,5.01
25,平井克典,2.55,54,4,3,0,28,.571,222,53.0,46,3,22,1,29,15,15,1.28,3.89
29,青山美夏人,2.96,39,0,1,3,1,.000,186,45.2,32,4,23,0,34,15,15,1.20,4.28
19,佐藤隼輔,2.50,47,1,2,0,18,.333,167,39.2,35,1,16,0,27,15,11,1.29,3.15
14,増田達至,5.45,40,4,4,19,6,.500,169,38.0,44,5,7,2,27,24,23,1.34,4.12
42,ボー・タカハシ,3.00,28,0,1,0,0,.000,151,36.0,20,1,19,7,27,12,12,1.08,4.15
54,ティノコ,2.83,38,0,3,0,8,.000,160,35.0,33,1,20,3,29,13,11,1.51,3.63
45,本田圭佑,1.56,25,0,1,0,2,.000,148,34.2,34,2,15,0,29,7,6,1.41,3.50
28,森脇亮介,1.95,31,2,1,3,12,.667,117,27.2,22,1,15,0,26,8,6,1.34,3.34
40,田村伊知郎,1.52,24,2,1,1,6,.667,93,23.2,14,1,8,0,20,4,4,0.93,2.99
26,佐々木健,0.87,21,0,1,0,4,.000,83,20.2,14,0,8,1,13,5,2,1.06,3.02
69,水上由伸,2.12,23,0,2,1,5,.000,75,17.0,12,1,14,0,13,4,4,1.53,4.83
15,宮川哲,7.16,4,1,2,0,0,.333,83,16.1,23,3,13,2,9,13,13,2.20,7.16
70,豆田泰志,0.59,16,0,0,1,6,.000,62,15.1,8,0,7,1,12,1,1,0.98,3.12
99,クリスキー,1.93,14,0,0,7,2,.000,56,14.0,6,1,9,0,13,3,3,1.07,3.91
12,渡邉勇太朗,0.82,2,1,0,0,0,1.000,42,11.0,7,0,5,0,4,1,1,1.09,3.76
59,大曲錬,5.40,10,0,0,0,0,.000,50,10.0,14,0,8,0,5,8,6,2.20,4.52
47,張奕,9.00,5,0,0,0,0,.000,25,5.0,10,2,1,0,3,5,5,2.20,7.72
23,公文克彦,9.64,7,1,1,0,0,.500,25,4.2,7,0,5,0,1,5,5,2.57,5.91
20,浜屋将太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,山田陽翔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,井上広輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,羽田慎之介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,黒田将矢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,赤上優人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
